Type,BBox_left,BBox_top,BBox_right,BBox_bottom,Distance,Label Name,Width,Height,Diagonal,Aspect_Ratio,Box_Area,Box_Perimeter,Centroid_x,Centroid_y
Car,767.9,181.48,975.64,349.99,8.98,007282.txt,207.74,168.51000000000002,267.49117312539494,1.232805174767076,35006.267400000004,752.5,871.77,265.735
Car,396.65,185.33,505.3,283.9,14.13,002591.txt,108.65000000000003,98.56999999999996,146.6999229720316,1.1022623516282852,10709.6305,414.44,450.975,234.615
Car,459.58,184.8,532.48,244.06,21.6,002591.txt,72.90000000000003,59.25999999999999,93.94763222136044,1.2301721228484652,4320.054000000001,264.32000000000005,496.03,214.43
Car,11.5,172.55,405.84,374.0,6.59,000627.txt,394.34,201.45,442.8161448050421,1.9575080665177464,79439.79299999999,1191.58,208.67,273.275
Car,409.2,183.32,484.47,243.32,20.28,000627.txt,75.27000000000004,60.0,96.25784591398256,1.2545000000000006,4516.200000000003,270.5400000000001,446.835,213.32
Car,375.39,183.56,500.35,293.98,12.74,002515.txt,124.96000000000004,110.42000000000002,166.75604336874875,1.1316790436515125,13798.083200000006,470.7600000000001,437.87,238.77
Car,453.71,184.16,532.47,247.8,20.21,002515.txt,78.76000000000005,63.640000000000015,101.25802289201587,1.2375864236329357,5012.2864000000045,284.8000000000001,493.09,215.98
Car,310.24,179.53,487.55,326.43,9.95,005223.txt,177.31,146.9,230.25734754834644,1.2070115724982982,26046.839,648.4200000000001,398.895,252.98
Car,438.81,182.62,532.43,257.3,17.44,005223.txt,93.61999999999996,74.68,119.75728286830822,1.2536154258168175,6991.541599999997,336.5999999999999,485.62,219.96
Car,0.0,210.35,370.69,374.0,6.41,000136.txt,370.69,163.65,405.2066122362763,2.265139016193095,60663.4185,1068.68,185.345,292.175
Car,646.14,165.53,700.16,204.94,34.87,000136.txt,54.01999999999998,39.41,66.86784354231858,1.370718091854859,2128.928199999999,186.86,673.15,185.235
Car,364.88,195.67,436.25,239.33,30.76,000136.txt,71.37,43.660000000000025,83.66524069169947,1.6346770499312864,3116.014200000002,230.0600000000001,400.565,217.5
